stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,vehicle_type
0:OUTNEWSN,OUTLAND ROAD at NEWGATE DRIVE,st 7193,35.048155,-89.901835,,0,1:OUTNEWSN,3
0:OUTWINSF,OUTLAND ROAD at WINCHESTER ROAD,st 7192,35.050667,-89.901851,,0,1:OUTWINSF,3
0:STAKIRWM,STAGE ROAD at KIRBY WHITTEN ROAD,st 977,35.20516,-89.839903,,0,1:STAKIRWM,3
0:WILSGOWF,WILLOW ROAD at S GOODLETT STREET,st 2804,35.086272,-89.921261,,0,1:WILSGOWF,3
0:WALHIGEF,WALNUT GROVE ROAD at HIGHLAND STREET,st 3064 (no 1123),35.131888,-89.944954,,0,1:3064,3
0:CENHOLEF,CENTRAL AVENUE at HOLLYWOOD STREET,st 34 (no 4),35.125678,-89.975804,,0,1:5000,3
0:LAMBELEF,LAMAR AVENUE at BELLEVUE BOULEVARD,st 5732 (no 1122),35.128288,-90.020528,,0,1:5732,3
0:AIRDEMNN,AIRWAYS BOULEVARD at DEMOCRAT ROAD,st 5319,35.067757,-89.987938,,0,1:AIRDEMNN,3
0:ALCHILWN,ALCY ROAD at HILLVIEW DRIVE,st 6813,35.078378,-89.992593,,0,1:ALCHILWN,3
0:ALCSAMWN,ALCY ROAD at SAMUELS STREET,st 6814,35.078523,-89.996176,,0,1:ALCSAMWN,3
0:ALCTHAWN,ALCY ROAD at THAMES ROAD,st 6119,35.078569,-89.997448,,0,1:ALCTHAWN,3
0:ALCJOHWM,ALCY ROAD at JOHANNA DRIVE,st 6120,35.078087,-89.999958,,0,1:ALCJOHWM,3
0:ALCVERWM,ALCY ROAD at VERDUN STREET,st 6815,35.077811,-90.000821,,0,1:ALCVERWM,3
0:RALROCWF,RALEIGH LAGRANGE ROAD at ROCK RIDGE ROAD,st 7078,35.18549,-89.884435,,0,1:RALROCWF,3
0:WALNORWN,WALNUT GROVE ROAD at NORWAL ROAD,st 2972,35.131096,-89.904353,,0,1:WALNORWN,3
0:WALGROWN,WALNUT GROVE ROAD at GROVE PARK ROAD,st 2974,35.131247,-89.910605,,0,1:WALGROWN,3
0:NEWGOOEN,NEW WILLOW ROAD at GOODLETT STREET,st 2814,35.085968,-89.920852,,0,1:NEWGOOEN,3
0:GETSTUNN,GETWELL ROAD at STUART ROAD,st 6155,35.104748,-89.930628,,0,1:GETSTUNN,3
0:BROAI2WF,BROOKS ROAD at AIRWAYS BOULEVARD,st 5242,35.060646,-89.99302,,0,1:BROAI2WF,3
0:JONWASNM,JONETTA STREET at WASHBURN DRIVE,st 4922,35.007787,-90.074876,,0,1:JONWASNM,3
0:9002,HOLMES ROAD at HUDGINS ROAD,no 142,35.006488,-89.999416,,0,1:9002,3
0:SHECRUEM,SHELBY DRIVE at CRUMP BOULEVARD,st 2481,35.020232,-89.861325,,0,1:SHECRUEM,3
0:SHESANEM,SHELBY DRIVE at SANDY PARK DRIVE,st 2482,35.020308,-89.85418,,0,1:SHESANEM,3
0:SHEVESEF,SHELBY DRIVE at VESCOVI LANE,st 2484,35.020266,-89.843747,,0,1:SHEVESEF,3
0:RIVSHENF,RIVERDALE ROAD at SHELBY DRIVE,st 3871,35.020827,-89.831083,,0,1:RIVSHENF,3
0:RIVBORNN,RIVERDALE ROAD at BORDEAUX LANE,st 3881,35.024053,-89.831095,,0,1:RIVBORNN,3
